value,record,element,collection
Manuscript materials from 16 microfilm reels,3,physicalDescription,dlc
"All of the manuscripts were kept with the other manuscripts that appeared on the same reel; in exactly the same order as they appeared on the reel. Four of the original 20 reels (#1, 15, 16 & 17) had only print items and were not digitized, so there are only 16 digital volumes that correspond to the different reels. The reels correspond to these LLMC nos: reel 2 manuscripts - 31169.0001.001; reel 3 manuscripts - 31169.0002.001; reel 4 manuscripts - 31169.0003.001; reel 5 manuscripts - 31169.0004.001;  reel 6 manuscripts - 31169.0005.001;  reel 7 manuscripts - 31169.0006.001; reel 8 manuscripts - 31169.0007.001;  reel 9 manuscripts - -31169.0008.001; reel 10 manuscripts- 31169.0009.001; reel 11 manuscripts- 31169.0010.001; reel 12 manuscripts- 31169.0011.001; reel 13 manuscripts- 31169.0012.001; reel 14 manuscripts- 31169.0013.001; reel 18 manuscripts- 31169.0014.001; reel 19 manuscripts- 31169.0015.001; reel 20 manuscripts- 31169.0016.001",3,note,dlc
16 volume composite Saint Domingue Manuscript Collection,3,titleInfo,dlc
Reel 4 manuscripts - LLMC MS - 31169.0003.001,3,titleInfo,dlc
AA00010296_00002University of Florida,2,recordInfo,dlc
31169,2,identifier,dlc
HaitiFrench Colony of Saint-Domingue,2,originInfo,dlc
Manuscript materials from 16 microfilm reels,2,relatedItem,dlc
16 volume composite Saint Domingue Manuscript CollectionReel 3 manuscripts - LLMC MS - 31169.0002.0013,2,relatedItem,dlc
Reel 3 manuscripts - LLMC MS - 31169.0002.0013,2,part,dlc
"The University of Florida’s Saint Domingue Collection; the Manuscripts: 16 online volumes corresponding to the 16 reels of microfilm from the University Library’s collection from which manuscripts were extracted and digitized. (The Saint Domingue Collection, an assemblage of 20 reels of microfilm containing 186 print titles and several hundred manuscripts and maps illustrative of the colonial era in the French Colony of Saint-Domingue, was assembled by University of Florida librarians in the mid-1950s. Most of the documents came from the French National Archives, although a portion of the manuscripts were mined from the University’s own collections. The University Library generously loaned the film to LLMC for digitization to enrich its Haiti Legal Patrimony Collection, and also bore half the cost of the digitization. Unfortunately, all of these historical gems have long languished in obscurity in their film format, and would have met much the same fate had that same formatting been transferred directly online. Therefore, while the provenance of each separate item is carefully acknowledged, the collection has been broken up into smaller units to make them more discoverable and citeable as follows. All of the print items were reassembled in the following pattern: A.) 69 print items are offered on this site as standalone titles; B.) 67 print items were reassembled into a composite title covering Activities in Saint Domingue; C.) 27 print items were reassembled into a a composite title - French Documents Related to Saint-Domingue; D.) 19 print items were reassembled into a a composite title - French Documents Related to the French Colonies; and E.) all of the hundreds of manuscripts were organized into a composite title of 16 volumes entitled Saint Domingue Collection, The Manuscripts. While the manuscript volumes follow a somewhat different plan, all of the parts within each of the three composite print titles {B-C-D above} are organized in rough chronological order, and each composite title has been enhanced with a detailed Table of Contents. Given that the part numbers assigned to these items will never change, a given part can be cited with confidence. The manuscripts that were extracted from those 16 reels of the microfilm that contained manuscripts have been grouped into the 16 online volumes comprising the present composite title, with the items appearing in the exact order in which they appeared on the film, along with images of any film guides that may have been provided. Each of the 16 online volumes is also being provided with its own “living index.” LLMC welcomes additions to these “living indexes” as volunteered by interested scholars willing to submit their identifications of particular manuscripts or notes of related historical content. Updated versions of the indexes will be “swapped in” as additional editorial matter is received. Parties interested in participating in this “living index” project should should contact Matthew Loving, MLS MA, Romance languages/Area Studies Librarian at the UFL Smathers Library mwloving@ad.ufl.edu.)",2,abstract,dlc
mixed material,2,typeOfResource,dlc
"The University of Florida George A. Smathers Libraries respect the intellectual property rights of others and do not claim any copyright interest in this item. This item may be protected by copyright but is made available here under a claim of fair use (17 U.S.C. §107) for non-profit research and educational purposes. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by fair use or other copyright exemptions. Any reuse of this item in excess of fair use or other copyright exemptions requires permission of the copyright holder. The Smathers Libraries would like to learn more about this item and invite individuals or organizations to contact Digital Services (UFDC@uflib.ufl.edu) with any additional information they can provide.",2,accessCondition,dlc
Manuscript materials from 16 microfilm reels,2,physicalDescription,dlc
"All of the manuscripts were kept with the other manuscripts that appeared on the same reel; in exactly the same order as they appeared on the reel. Four of the original 20 reels (#1, 15, 16 & 17) had only print items and were not digitized, so there are only 16 digital volumes that correspond to the different reels. The reels correspond to these LLMC nos: reel 2 manuscripts - 31169.0001.001; reel 3 manuscripts - 31169.0002.001; reel 4 manuscripts - 31169.0003.001; reel 5 manuscripts - 31169.0004.001;  reel 6 manuscripts - 31169.0005.001;  reel 7 manuscripts - 31169.0006.001; reel 8 manuscripts - 31169.0007.001;  reel 9 manuscripts - -31169.0008.001; reel 10 manuscripts- 31169.0009.001; reel 11 manuscripts- 31169.0010.001; reel 12 manuscripts- 31169.0011.001; reel 13 manuscripts- 31169.0012.001; reel 14 manuscripts- 31169.0013.001; reel 18 manuscripts- 31169.0014.001; reel 19 manuscripts- 31169.0015.001; reel 20 manuscripts- 31169.0016.001",2,note,dlc
16 volume composite Saint Domingue Manuscript Collection,2,titleInfo,dlc
Reel 3 manuscripts - LLMC MS - 31169.0002.001,2,titleInfo,dlc
AA00010296_00001University of Florida,1,recordInfo,dlc
31169,1,identifier,dlc
HaitiFrench Colony of Saint-Domingue,1,originInfo,dlc
Manuscript materials from 16 microfilm reels,1,relatedItem,dlc
16 volume composite Saint Domingue Manuscript CollectionReel 2 manuscripts - LLMC MS - 31169.0001.0012,1,relatedItem,dlc
Reel 2 manuscripts - LLMC MS - 31169.0001.0012,1,part,dlc
"The University of Florida’s Saint Domingue Collection; the Manuscripts: 16 online volumes corresponding to the 16 reels of microfilm from the University Library’s collection from which manuscripts were extracted and digitized. (The Saint Domingue Collection, an assemblage of 20 reels of microfilm containing 186 print titles and several hundred manuscripts and maps illustrative of the colonial era in the French Colony of Saint-Domingue, was assembled by University of Florida librarians in the mid-1950s. Most of the documents came from the French National Archives, although a portion of the manuscripts were mined from the University’s own collections. The University Library generously loaned the film to LLMC for digitization to enrich its Haiti Legal Patrimony Collection, and also bore half the cost of the digitization. Unfortunately, all of these historical gems have long languished in obscurity in their film format, and would have met much the same fate had that same formatting been transferred directly online. Therefore, while the provenance of each separate item is carefully acknowledged, the collection has been broken up into smaller units to make them more discoverable and citeable as follows. All of the print items were reassembled in the following pattern: A.) 69 print items are offered on this site as standalone titles; B.) 67 print items were reassembled into a composite title covering Activities in Saint Domingue; C.) 27 print items were reassembled into a a composite title - French Documents Related to Saint-Domingue; D.) 19 print items were reassembled into a a composite title - French Documents Related to the French Colonies; and E.) all of the hundreds of manuscripts were organized into a composite title of 16 volumes entitled Saint Domingue Collection, The Manuscripts. While the manuscript volumes follow a somewhat different plan, all of the parts within each of the three composite print titles {B-C-D above} are organized in rough chronological order, and each composite title has been enhanced with a detailed Table of Contents. Given that the part numbers assigned to these items will never change, a given part can be cited with confidence. The manuscripts that were extracted from those 16 reels of the microfilm that contained manuscripts have been grouped into the 16 online volumes comprising the present composite title, with the items appearing in the exact order in which they appeared on the film, along with images of any film guides that may have been provided. Each of the 16 online volumes is also being provided with its own “living index.” LLMC welcomes additions to these “living indexes” as volunteered by interested scholars willing to submit their identifications of particular manuscripts or notes of related historical content. Updated versions of the indexes will be “swapped in” as additional editorial matter is received. Parties interested in participating in this “living index” project should should contact Matthew Loving, MLS MA, Romance languages/Area Studies Librarian at the UFL Smathers Library mwloving@ad.ufl.edu.)",1,abstract,dlc
mixed material,1,typeOfResource,dlc
"The University of Florida George A. Smathers Libraries respect the intellectual property rights of others and do not claim any copyright interest in this item. This item may be protected by copyright but is made available here under a claim of fair use (17 U.S.C. §107) for non-profit research and educational purposes. Users of this work have responsibility for determining copyright status prior to reusing, publishing or reproducing this item for purposes other than what is allowed by fair use or other copyright exemptions. Any reuse of this item in excess of fair use or other copyright exemptions requires permission of the copyright holder. The Smathers Libraries would like to learn more about this item and invite individuals or organizations to contact Digital Services (UFDC@uflib.ufl.edu) with any additional information they can provide.",1,accessCondition,dlc
Manuscript materials from 16 microfilm reels,1,physicalDescription,dlc
"All of the manuscripts were kept with the other manuscripts that appeared on the same reel; in exactly the same order as they appeared on the reel. Four of the original 20 reels (#1, 15, 16 & 17) had only print items and were not digitized, so there are only 16 digital volumes that correspond to the different reels. The reels correspond to these LLMC nos: reel 2 manuscripts - 31169.0001.001; reel 3 manuscripts - 31169.0002.001; reel 4 manuscripts - 31169.0003.001; reel 5 manuscripts - 31169.0004.001;  reel 6 manuscripts - 31169.0005.001;  reel 7 manuscripts - 31169.0006.001; reel 8 manuscripts - 31169.0007.001;  reel 9 manuscripts - -31169.0008.001; reel 10 manuscripts- 31169.0009.001; reel 11 manuscripts- 31169.0010.001; reel 12 manuscripts- 31169.0011.001; reel 13 manuscripts- 31169.0012.001; reel 14 manuscripts- 31169.0013.001; reel 18 manuscripts- 31169.0014.001; reel 19 manuscripts- 31169.0015.001; reel 20 manuscripts- 31169.0016.001",1,note,dlc
16 volume composite Saint Domingue Manuscript Collection,1,titleInfo,dlc
Reel 2 manuscripts - LLMC MS - 31169.0001.001,1,titleInfo,dlc
dlc20221128lcwaN0000657eng,40,recordInfo,loc
lcwaN0000657,40,identifier,loc
700,40,identifier,loc
http://weberinthehouse.com/,40,identifier,loc
1020,40,identifier,loc
http://www.weberinthehouse.com/,40,identifier,loc
1019,40,identifier,loc
general,40,targetAudience,loc
2006062120081126,40,originInfo,loc
2006062120081126,40,originInfo,loc
United States Elections Web Archive,40,relatedItem,loc
Researcher and Reference Services Division,40,relatedItem,loc
http://weberinthehouse.com/1020http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001020.jpgNone2006062120081126,40,relatedItem,loc
http://www.weberinthehouse.com/1019http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001019.jpg2006062120081126,40,relatedItem,loc
website,40,genre,loc
None,40,part,loc
text,40,typeOfResource,loc
None,40,accessCondition,loc
"Weber, Craig Peter",40,subject,loc
Political candidatesUnited States,40,subject,loc
ElectionsUnited States,40,subject,loc
Politics and governmentUnited States,40,subject,loc
"United States Elections, 2006",40,subject,loc
United StatesCongressHouse,40,subject,loc
Democratic Party,40,subject,loc
North Carolina,40,subject,loc
North Carolina (3rd Congressional District),40,subject,loc
"United States Elections, 2008",40,subject,loc
United StatesCongressHouse,40,subject,loc
Democratic Party,40,subject,loc
North Carolina,40,subject,loc
North Carolina (3rd Congressional District),40,subject,loc
electronictext/htmlborn digital,40,physicalDescription,loc
eng,40,language,loc
"Weber, Craig Peter",40,name,loc
"Weber, Craig Peter",40,name,loc
United StatesCongressHouse,40,name,loc
Democratic Party,40,name,loc
United StatesCongressHouse,40,name,loc
Democratic Party,40,name,loc
Official Campaign Website - Craig Peter Weber,40,titleInfo,loc
United States Elections Web Archive,40,titleInfo,loc
Researcher and Reference Services Division,40,titleInfo,loc
dlc20221128lcwaN0000656eng,39,recordInfo,loc
lcwaN0000656,39,identifier,loc
2085,39,identifier,loc
http://www.patrickwarrenforcongress.com/,39,identifier,loc
1018,39,identifier,loc
general,39,targetAudience,loc
2006062120061213,39,originInfo,loc
United States Elections Web Archive,39,relatedItem,loc
Researcher and Reference Services Division,39,relatedItem,loc
http://www.patrickwarrenforcongress.com/1018http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001018.jpgNone2006062120061213,39,relatedItem,loc
website,39,genre,loc
None,39,part,loc
text,39,typeOfResource,loc
None,39,accessCondition,loc
"Warren, Patrick",39,subject,loc
Political candidatesUnited States,39,subject,loc
ElectionsUnited States,39,subject,loc
Politics and governmentUnited States,39,subject,loc
"United States Elections, 2006",39,subject,loc
United StatesCongressHouse,39,subject,loc
Libertarian Party,39,subject,loc
Texas,39,subject,loc
Texas (18th Congressional District),39,subject,loc
electronictext/htmlborn digital,39,physicalDescription,loc
eng,39,language,loc
"Warren, Patrick",39,name,loc
"Warren, Patrick",39,name,loc
United StatesCongressHouse,39,name,loc
Libertarian Party,39,name,loc
Official Campaign Website - Patrick Warren,39,titleInfo,loc
United States Elections Web Archive,39,titleInfo,loc
Researcher and Reference Services Division,39,titleInfo,loc
dlc20221128lcwaN0000655eng,38,recordInfo,loc
lcwaN0000655,38,identifier,loc
2081,38,identifier,loc
http://www.vandenbergforcongress.com/,38,identifier,loc
1017,38,identifier,loc
general,38,targetAudience,loc
2004100920061214,38,originInfo,loc
United States Elections Web Archive,38,relatedItem,loc
Researcher and Reference Services Division,38,relatedItem,loc
http://www.vandenbergforcongress.com/1017http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001017.jpgNone2004100920061214,38,relatedItem,loc
website,38,genre,loc
None,38,part,loc
text,38,typeOfResource,loc
None,38,accessCondition,loc
"Vandenberg, Louis",38,subject,loc
Political candidatesUnited States,38,subject,loc
ElectionsUnited States,38,subject,loc
Politics and governmentUnited States,38,subject,loc
"United States Elections, 2004",38,subject,loc
United StatesCongressHouse,38,subject,loc
Democratic Party,38,subject,loc
California,38,subject,loc
California (44th Congressional District),38,subject,loc
"United States Elections, 2006",38,subject,loc
United StatesCongressHouse,38,subject,loc
Democratic Party,38,subject,loc
California,38,subject,loc
California (44th Congressional District),38,subject,loc
electronictext/htmlborn digital,38,physicalDescription,loc
eng,38,language,loc
"Vandenberg, Louis",38,name,loc
"Vandenberg, Louis",38,name,loc
United StatesCongressHouse,38,name,loc
Democratic Party,38,name,loc
United StatesCongressHouse,38,name,loc
Democratic Party,38,name,loc
Official Campaign Website - Louis Vandenberg,38,titleInfo,loc
United States Elections Web Archive,38,titleInfo,loc
Researcher and Reference Services Division,38,titleInfo,loc
dlc20221128lcwaN0000654eng,37,recordInfo,loc
lcwaN0000654,37,identifier,loc
500,37,identifier,loc
http://stephanietubbsjones.com/,37,identifier,loc
1016,37,identifier,loc
http://www.stephanietubbsjones.com/,37,identifier,loc
1015,37,identifier,loc
general,37,targetAudience,loc
2006062120091005,37,originInfo,loc
2006062120091005,37,originInfo,loc
United States Elections Web Archive,37,relatedItem,loc
Researcher and Reference Services Division,37,relatedItem,loc
http://stephanietubbsjones.com/1016http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001016.jpgNone2006062120091005,37,relatedItem,loc
http://www.stephanietubbsjones.com/1015http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001015.jpg2006062120091005,37,relatedItem,loc
website,37,genre,loc
None,37,part,loc
text,37,typeOfResource,loc
None,37,accessCondition,loc
"Jones, Stephanie Tubbs",37,subject,loc
Political candidatesUnited States,37,subject,loc
ElectionsUnited States,37,subject,loc
Politics and governmentUnited States,37,subject,loc
"United States Elections, 2006",37,subject,loc
United StatesCongressHouse,37,subject,loc
Democratic Party,37,subject,loc
Ohio,37,subject,loc
Ohio (11th Congressional District),37,subject,loc
"United States Elections, 2008",37,subject,loc
United StatesCongressHouse,37,subject,loc
Democratic Party,37,subject,loc
Ohio,37,subject,loc
Ohio (11th Congressional District),37,subject,loc
electronictext/htmlborn digital,37,physicalDescription,loc
eng,37,language,loc
"Jones, Stephanie Tubbs",37,name,loc
"Jones, Stephanie Tubbs",37,name,loc
United StatesCongressHouse,37,name,loc
Democratic Party,37,name,loc
United StatesCongressHouse,37,name,loc
Democratic Party,37,name,loc
Official Campaign Website - Stephanie Tubbs Jones,37,titleInfo,loc
United States Elections Web Archive,37,titleInfo,loc
Researcher and Reference Services Division,37,titleInfo,loc
dlc20221128lcwaN0000653eng,36,recordInfo,loc
lcwaN0000653,36,identifier,loc
2112,36,identifier,loc
http://tognazziniforcongress.com/,36,identifier,loc
1014,36,identifier,loc
general,36,targetAudience,loc
2006062120061213,36,originInfo,loc
United States Elections Web Archive,36,relatedItem,loc
Researcher and Reference Services Division,36,relatedItem,loc
http://tognazziniforcongress.com/1014http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001014.jpgNone2006062120061213,36,relatedItem,loc
website,36,genre,loc
None,36,part,loc
text,36,typeOfResource,loc
None,36,accessCondition,loc
"Tognazzini, Victor D.",36,subject,loc
Political candidatesUnited States,36,subject,loc
ElectionsUnited States,36,subject,loc
Politics and governmentUnited States,36,subject,loc
"United States Elections, 2006",36,subject,loc
United StatesCongressHouse,36,subject,loc
Republican Party,36,subject,loc
California,36,subject,loc
California (23rd Congressional District),36,subject,loc
electronictext/htmlborn digital,36,physicalDescription,loc
eng,36,language,loc
"Tognazzini, Victor D.",36,name,loc
"Tognazzini, Victor D.",36,name,loc
United StatesCongressHouse,36,name,loc
Republican Party,36,name,loc
Official Campaign Website - Victor D. Tognazzini,36,titleInfo,loc
United States Elections Web Archive,36,titleInfo,loc
Researcher and Reference Services Division,36,titleInfo,loc
dlc20221128lcwaN0000652eng,35,recordInfo,loc
lcwaN0000652,35,identifier,loc
2091,35,identifier,loc
http://www.lptexas.org/2006/jimthompson,35,identifier,loc
1013,35,identifier,loc
general,35,targetAudience,loc
2006062120061213,35,originInfo,loc
United States Elections Web Archive,35,relatedItem,loc
Researcher and Reference Services Division,35,relatedItem,loc
http://www.lptexas.org/2006/jimthompson1013http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001013.jpgNone2006062120061213,35,relatedItem,loc
website,35,genre,loc
None,35,part,loc
text,35,typeOfResource,loc
None,35,accessCondition,loc
"Thompson, Jim",35,subject,loc
Political candidatesUnited States,35,subject,loc
ElectionsUnited States,35,subject,loc
Politics and governmentUnited States,35,subject,loc
"United States Elections, 2006",35,subject,loc
United StatesCongressHouse,35,subject,loc
Libertarian Party,35,subject,loc
Texas,35,subject,loc
Texas (13rd Congressional District),35,subject,loc
electronictext/htmlborn digital,35,physicalDescription,loc
eng,35,language,loc
"Thompson, Jim",35,name,loc
"Thompson, Jim",35,name,loc
United StatesCongressHouse,35,name,loc
Libertarian Party,35,name,loc
Official Campaign Website - Jim Thompson,35,titleInfo,loc
United States Elections Web Archive,35,titleInfo,loc
Researcher and Reference Services Division,35,titleInfo,loc
dlc20221128lcwaN0000651eng,34,recordInfo,loc
lcwaN0000651,34,identifier,loc
2128,34,identifier,loc
http://www.charliethompson.org/,34,identifier,loc
1012,34,identifier,loc
general,34,targetAudience,loc
2006062120061214,34,originInfo,loc
United States Elections Web Archive,34,relatedItem,loc
Researcher and Reference Services Division,34,relatedItem,loc
http://www.charliethompson.org/1012http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001012.jpgNone2006062120061214,34,relatedItem,loc
website,34,genre,loc
None,34,part,loc
text,34,typeOfResource,loc
None,34,accessCondition,loc
"Thompson, Charles Edward",34,subject,loc
Political candidatesUnited States,34,subject,loc
ElectionsUnited States,34,subject,loc
Politics and governmentUnited States,34,subject,loc
"United States Elections, 2006",34,subject,loc
United StatesCongressHouse,34,subject,loc
Democratic Party,34,subject,loc
Texas,34,subject,loc
Texas (5th Congressional District),34,subject,loc
electronictext/htmlborn digital,34,physicalDescription,loc
eng,34,language,loc
"Thompson, Charles Edward",34,name,loc
"Thompson, Charles Edward",34,name,loc
United StatesCongressHouse,34,name,loc
Democratic Party,34,name,loc
Official Campaign Website - Charles Edward Thompson,34,titleInfo,loc
United States Elections Web Archive,34,titleInfo,loc
Researcher and Reference Services Division,34,titleInfo,loc
dlc20221128lcwaN0000650eng,33,recordInfo,loc
lcwaN0000650,33,identifier,loc
2087,33,identifier,loc
https://www.facebook.com/VanForTexas/,33,identifier,loc
35997,33,identifier,loc
https://www.instagram.com/vantaylortx/,33,identifier,loc
35996,33,identifier,loc
http://www.vantaylor.com/,33,identifier,loc
1011,33,identifier,loc
general,33,targetAudience,loc
2012051120181204,33,originInfo,loc
2018032120181225,33,originInfo,loc
2006062120210112,33,originInfo,loc
United States Elections Web Archive,33,relatedItem,loc
Researcher and Reference Services Division,33,relatedItem,loc
https://www.facebook.com/VanForTexas/35997http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0035997.jpghttp://www.facebook.com/VanForTexas/2012051120181204,33,relatedItem,loc
https://www.instagram.com/vantaylortx/35996http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0035996.jpghttp://www.instagram.com/vantaylortx/2018032120181225,33,relatedItem,loc
http://www.vantaylor.com/1011http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001011.jpghttp://vantaylor.comhttp://www.youtube.com/user/vanfortexas2006062120210112,33,relatedItem,loc
website,33,genre,loc
http://www.facebook.com/VanForTexas/,33,part,loc
http://www.instagram.com/vantaylortx/,33,part,loc
http://vantaylor.comhttp://www.youtube.com/user/vanfortexas,33,part,loc
text,33,typeOfResource,loc
None,33,accessCondition,loc
"Taylor, Nicholas Vancampen (Van)",33,subject,loc
Political candidatesUnited States,33,subject,loc
ElectionsUnited States,33,subject,loc
Politics and governmentUnited States,33,subject,loc
"United States Elections, 2006",33,subject,loc
United StatesCongressHouse,33,subject,loc
Republican Party,33,subject,loc
Texas,33,subject,loc
Texas (17th Congressional District),33,subject,loc
"United States Elections, 2018",33,subject,loc
United StatesCongressHouse,33,subject,loc
Republican Party,33,subject,loc
Texas,33,subject,loc
Texas (3rd Congressional District),33,subject,loc
"United States Elections, 2020",33,subject,loc
United StatesCongressHouse,33,subject,loc
Republican Party,33,subject,loc
Texas,33,subject,loc
Texas (3rd Congressional District),33,subject,loc
electronictext/htmlborn digital,33,physicalDescription,loc
eng,33,language,loc
"Taylor, Nicholas Vancampen (Van)",33,name,loc
"Taylor, Nicholas Vancampen (Van)",33,name,loc
United StatesCongressHouse,33,name,loc
Republican Party,33,name,loc
United StatesCongressHouse,33,name,loc
Republican Party,33,name,loc
United StatesCongressHouse,33,name,loc
Republican Party,33,name,loc
Official Campaign Website - Nicholas Vancampen 'Van' Taylor,33,titleInfo,loc
United States Elections Web Archive,33,titleInfo,loc
Researcher and Reference Services Division,33,titleInfo,loc
dlc20221128lcwaN0000649eng,32,recordInfo,loc
lcwaN0000649,32,identifier,loc
2080,32,identifier,loc
http://www.stumbaughforcongress.com/,32,identifier,loc
1010,32,identifier,loc
general,32,targetAudience,loc
2006062120061213,32,originInfo,loc
United States Elections Web Archive,32,relatedItem,loc
Researcher and Reference Services Division,32,relatedItem,loc
http://www.stumbaughforcongress.com/1010http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0001010.jpgNone2006062120061213,32,relatedItem,loc
website,32,genre,loc
None,32,part,loc
text,32,typeOfResource,loc
None,32,accessCondition,loc
"Stumbaugh, Mickey Stubby",32,subject,loc
Political candidatesUnited States,32,subject,loc
ElectionsUnited States,32,subject,loc
Politics and governmentUnited States,32,subject,loc
"United States Elections, 2006",32,subject,loc
United StatesCongressHouse,32,subject,loc
Republican Party,32,subject,loc
Arkansas,32,subject,loc
Arkansas (1st Congressional District),32,subject,loc
electronictext/htmlborn digital,32,physicalDescription,loc
eng,32,language,loc
"Stumbaugh, Mickey Stubby",32,name,loc
"Stumbaugh, Mickey Stubby",32,name,loc
United StatesCongressHouse,32,name,loc
Republican Party,32,name,loc
Official Campaign Website - Mickey Stubby Stumbaugh,32,titleInfo,loc
United States Elections Web Archive,32,titleInfo,loc
Researcher and Reference Services Division,32,titleInfo,loc
dlc20221128lcwaN0000608eng,31,recordInfo,loc
lcwaN0000608,31,identifier,loc
2096,31,identifier,loc
http://www.bobhiseforcongress.com/,31,identifier,loc
955,31,identifier,loc
general,31,targetAudience,loc
2006062120060823,31,originInfo,loc
United States Elections Web Archive,31,relatedItem,loc
Researcher and Reference Services Division,31,relatedItem,loc
http://www.bobhiseforcongress.com/955http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000955.jpgNone2006062120060823,31,relatedItem,loc
website,31,genre,loc
None,31,part,loc
text,31,typeOfResource,loc
None,31,accessCondition,loc
"Hise, Bobby J.",31,subject,loc
Political candidatesUnited States,31,subject,loc
ElectionsUnited States,31,subject,loc
Politics and governmentUnited States,31,subject,loc
"United States Elections, 2006",31,subject,loc
United StatesCongressHouse,31,subject,loc
Independent candidates,31,subject,loc
Texas,31,subject,loc
Texas (3rd Congressional District),31,subject,loc
electronictext/htmlborn digital,31,physicalDescription,loc
eng,31,language,loc
"Hise, Bobby J.",31,name,loc
"Hise, Bobby J.",31,name,loc
United StatesCongressHouse,31,name,loc
Independent candidates,31,name,loc
Official Campaign Website - Bobby J. Hise,31,titleInfo,loc
United States Elections Web Archive,31,titleInfo,loc
Researcher and Reference Services Division,31,titleInfo,loc
dlc20221128lcwaN0000607eng,30,recordInfo,loc
lcwaN0000607,30,identifier,loc
2100,30,identifier,loc
http://scott-jameson.ruck.us/,30,identifier,loc
25076,30,identifier,loc
http://www.scottjameson.org/,30,identifier,loc
954,30,identifier,loc
general,30,targetAudience,loc
2016092020161108,30,originInfo,loc
2002080920061213,30,originInfo,loc
United States Elections Web Archive,30,relatedItem,loc
Researcher and Reference Services Division,30,relatedItem,loc
http://scott-jameson.ruck.us/25076http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0025076.jpghttp://scott-jameson.ruck.us2016092020161108,30,relatedItem,loc
http://www.scottjameson.org/954http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000954.jpg2002080920061213,30,relatedItem,loc
website,30,genre,loc
http://scott-jameson.ruck.us,30,part,loc
text,30,typeOfResource,loc
None,30,accessCondition,loc
"Jameson, Scott Lanier",30,subject,loc
Political candidatesUnited States,30,subject,loc
ElectionsUnited States,30,subject,loc
Politics and governmentUnited States,30,subject,loc
"United States Elections, 2002",30,subject,loc
United StatesCongressSenate,30,subject,loc
Libertarian Party,30,subject,loc
Texas,30,subject,loc
"United States Elections, 2006",30,subject,loc
United StatesCongressSenate,30,subject,loc
Libertarian Party,30,subject,loc
Texas,30,subject,loc
"United States Elections, 2016",30,subject,loc
United StatesCongressHouse,30,subject,loc
Libertarian Party,30,subject,loc
Texas,30,subject,loc
Texas (3rd Congressional District),30,subject,loc
electronictext/htmlborn digital,30,physicalDescription,loc
eng,30,language,loc
"Jameson, Scott Lanier",30,name,loc
"Jameson, Scott Lanier",30,name,loc
United StatesCongressSenate,30,name,loc
Libertarian Party,30,name,loc
United StatesCongressSenate,30,name,loc
Libertarian Party,30,name,loc
United StatesCongressHouse,30,name,loc
Libertarian Party,30,name,loc
Official Campaign Website - Scott Lanier Jameson,30,titleInfo,loc
United States Elections Web Archive,30,titleInfo,loc
Researcher and Reference Services Division,30,titleInfo,loc
dlc20221128lcwaN0000606eng,29,recordInfo,loc
lcwaN0000606,29,identifier,loc
2099,29,identifier,loc
http://home.nctv.com/ourkeysdream,29,identifier,loc
953,29,identifier,loc
general,29,targetAudience,loc
2006062120061213,29,originInfo,loc
United States Elections Web Archive,29,relatedItem,loc
Researcher and Reference Services Division,29,relatedItem,loc
http://home.nctv.com/ourkeysdream953http://cdn.loc.gov/service/webcapture/project_1/thumbnails/lcwaS0000953.jpgNone2006062120061213,29,relatedItem,loc
website,29,genre,loc
None,29,part,loc
text,29,typeOfResource,loc
None,29,accessCondition,loc
"Loux, Arthur Willis",29,subject,loc
Political candidatesUnited States,29,subject,loc
ElectionsUnited States,29,subject,loc
Politics and governmentUnited States,29,subject,loc
"United States Elections, 2006",29,subject,loc
United StatesCongressSenate,29,subject,loc
Independent candidates,29,subject,loc
Texas,29,subject,loc
electronictext/htmlborn digital,29,physicalDescription,loc
eng,29,language,loc
"Loux, Arthur Willis",29,name,loc
"Loux, Arthur Willis",29,name,loc
United StatesCongressSenate,29,name,loc
Independent candidates,29,name,loc
Official Campaign Website - Arthur Willis Loux,29,titleInfo,loc
United States Elections Web Archive,29,titleInfo,loc
Researcher and Reference Services Division,29,titleInfo,loc
dlc20221128lcwaN0000605eng,28,recordInfo,loc
lcwaN0000605,28,identifier,loc
2114,28,identifier,loc
http://www.lptexas.org/2006/mclauchlan/,28,identifier,loc
952,28,identifier,loc
general,28,targetAudience,loc
